"filename", "language", "JavaScript", "JavaScript React", "SCSS", "comment", "blank", "total"
"c:\Users\mcpiv\Learning\React\social-network\src\redux\actions\getFriendDetails.action.js", "JavaScript", 31, 0, 0, 0, 4, 35
"c:\Users\mcpiv\Learning\React\social-network\src\redux\actions\getFriendList.action.js", "JavaScript", 37, 0, 0, 0, 8, 45
"c:\Users\mcpiv\Learning\React\social-network\src\redux\actions\getPosts.action.js", "JavaScript", 31, 0, 0, 0, 9, 40
"c:\Users\mcpiv\Learning\React\social-network\src\redux\actions\hasAccount.action.js", "JavaScript", 5, 0, 0, 0, 0, 5
"c:\Users\mcpiv\Learning\React\social-network\src\redux\actions\login.action.js", "JavaScript", 45, 0, 0, 0, 5, 50
"c:\Users\mcpiv\Learning\React\social-network\src\redux\actions\post.action.js", "JavaScript", 32, 0, 0, 0, 5, 37
"c:\Users\mcpiv\Learning\React\social-network\src\redux\actions\searchPeople.action.js", "JavaScript", 34, 0, 0, 0, 5, 39
"c:\Users\mcpiv\Learning\React\social-network\src\redux\reducers\acceptFriend.js", "JavaScript", 29, 0, 0, 0, 3, 32
"c:\Users\mcpiv\Learning\React\social-network\src\redux\reducers\declineFriend.js", "JavaScript", 29, 0, 0, 0, 3, 32
"c:\Users\mcpiv\Learning\React\social-network\src\redux\reducers\deletePost.js", "JavaScript", 30, 0, 0, 0, 3, 33
"c:\Users\mcpiv\Learning\React\social-network\src\redux\reducers\friendsList.js", "JavaScript", 17, 0, 0, 0, 2, 19
"c:\Users\mcpiv\Learning\React\social-network\src\redux\reducers\getFriendDetails.js", "JavaScript", 31, 0, 0, 0, 3, 34
"c:\Users\mcpiv\Learning\React\social-network\src\redux\reducers\getFriendList.js", "JavaScript", 39, 0, 0, 0, 4, 43
"c:\Users\mcpiv\Learning\React\social-network\src\redux\reducers\getPosts.js", "JavaScript", 28, 0, 0, 0, 1, 29
"c:\Users\mcpiv\Learning\React\social-network\src\redux\reducers\hasAccount.js", "JavaScript", 9, 0, 0, 0, 3, 12
"c:\Users\mcpiv\Learning\React\social-network\src\redux\reducers\login.js", "JavaScript", 38, 0, 0, 0, 1, 39
"c:\Users\mcpiv\Learning\React\social-network\src\redux\reducers\post.js", "JavaScript", 29, 0, 0, 0, 1, 30
"c:\Users\mcpiv\Learning\React\social-network\src\redux\reducers\searchPeople.js", "JavaScript", 29, 0, 0, 0, 2, 31
"c:\Users\mcpiv\Learning\React\social-network\src\redux\rootReducer.js", "JavaScript", 33, 0, 0, 0, 4, 37
"c:\Users\mcpiv\Learning\React\social-network\src\redux\store.js", "JavaScript", 12, 0, 0, 0, 4, 16
"c:\Users\mcpiv\Learning\React\social-network\src\serviceWorker.js", "JavaScript", 98, 0, 0, 31, 13, 142
"c:\Users\mcpiv\Learning\React\social-network\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 823, 604, 482, 46, 294, 2249
